 PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1282 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:18
 1283 chris     20   0  108232  11232   9496 S   0.0  0.3   0:11.86 x-window-manage
 1284 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:19
 1285 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:20
 1286 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:21
 1287 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:22
 1288 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:23
 1289 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:24
 1290 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:25
 1291 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:26
 1292 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:27
 1293 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:28
 1294 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:29
 1295 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:30
 1296 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:31
 1297 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:32
 1298 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:33
 1299 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:34
 1301 chris     20   0   45472   5648   2620 S   0.0  0.1   0:00.10 xbindkeys
 1302 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:35
 1303 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:36
 1304 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:37
 1305 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:38
 1306 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:39
 1307 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:40
 1308 chris     20   0   24372   2024   1764 S   0.0  0.1   0:00.00 dbus-launch
 1309 chris     20   0   42248   2724   2192 S   0.0  0.1   0:00.21 dbus-daemon
 1311 chris     20   0    4336    756    672 S   0.0  0.0   0:00.00 sh
 1312 chris     20   0   86832   8928   7952 S   0.0  0.2   6:08.01 i3bar
 1313 chris     20   0    4336    712    628 S   0.0  0.0   0:00.00 sh
 1314 chris     20   0   24672   3536   3156 S   0.0  0.1   7:21.07 i3status
 1315 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:41
 1316 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:42
 1317 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:43
 1318 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:44
 1319 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:45
 1320 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:46
 1321 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:47
 1322 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:48
 1323 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:49
 1324 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:50
 1325 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:51
 1326 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:52
 1327 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/u8:53
 1328 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:54
 1329 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:55
 1330 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:56
 1331 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:57
 1332 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:58
 1333 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:59
 1334 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:60
 1335 root      20   0       0      0      0 S   0.0  0.0   0:00.09 kworker/u8:61
 1336 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:62
 1337 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:63
 1338 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:64
 1339 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:65
 1340 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:66
 1341 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:67
 1342 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:68
 1343 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:69
 1344 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:71
 1345 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:72
 1346 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:73
 1347 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:74
 1348 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:75
 1349 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:76
 1350 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:77
 1351 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:78
 1352 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:79
 1353 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:80
 1354 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:81
 1355 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:82
 1356 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:83
 1357 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:84
 1358 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:85
 1359 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:86
 1360 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:87
 1361 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:88
 1362 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:89
 1363 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u8:90
 1364 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/66-mei_me
 1365 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0
 1366 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/3:3
 1367 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0
